event,tag,sport,sport_code,sport_url,discipline,start_date,end_date,venue,phase,gender,status,day_of_week,duration_hours,latitude,longitude,date_start,date_end,start_day,start_month,start_hour
Men's 57kg,boxing,Boxing,BOX,https://olympics.com/en/paris-2024/sports/boxing,Boxing,2024-07-28 15:30:00+02:00,2024-07-28 15:41:00+02:00,North Paris Arena,Men's 57kg - Prelims - Round of 32,M,FINISHED,Sunday,0.1833333333333333,48.9342,2.3601,2024-07-27 13:30:00+00:00,2024-08-08 15:30:00+00:00,28,7,15
Women's Sabre Individual,fencing,Fencing,FEN,https://olympics.com/en/paris-2024/sports/fencing,Fencing,2024-07-29 09:00:00+02:00,2024-07-29 09:25:00+02:00,Grand Palais,Women's Sabre Individual Table of 64,W,FINISHED,Monday,0.4166666666666667,48.8662,2.3124,2024-07-27 08:00:00+00:00,2024-08-10 21:00:00+00:00,29,7,9
Men's Foil Individual,fencing,Fencing,FEN,https://olympics.com/en/paris-2024/sports/fencing,Fencing,2024-07-29 09:25:00+02:00,2024-07-29 09:55:00+02:00,Grand Palais,Men's Foil Individual Table of 64,M,FINISHED,Monday,0.5,48.8662,2.3124,2024-07-27 08:00:00+00:00,2024-08-10 21:00:00+00:00,29,7,9
Men's Team,table-tennis,Table Tennis,TTE,https://olympics.com/en/paris-2024/sports/table-tennis,Archery,2024-07-29 09:30:00+02:00,2024-07-29 09:53:00+02:00,Invalides,Men's Team 1/8 Elimination Round,M,FINISHED,Monday,0.3833333333333333,48.8566,2.3122,2024-07-25 07:30:00+00:00,2024-08-04 13:20:00+00:00,29,7,9
Men's Team,artistic-gymnastics,Artistic Gymnastics,GAR,https://olympics.com/en/paris-2024/sports/artistic-gymnastics,Archery,2024-07-29 09:30:00+02:00,2024-07-29 09:53:00+02:00,Invalides,Men's Team 1/8 Elimination Round,M,FINISHED,Monday,0.3833333333333333,48.8566,2.3122,2024-07-25 07:30:00+00:00,2024-08-04 13:20:00+00:00,29,7,9
Men's Team,archery,Archery,ARC,https://olympics.com/en/paris-2024/sports/archery,Archery,2024-07-29 09:30:00+02:00,2024-07-29 09:53:00+02:00,Invalides,Men's Team 1/8 Elimination Round,M,FINISHED,Monday,0.3833333333333333,48.8566,2.3122,2024-07-25 07:30:00+00:00,2024-08-04 13:20:00+00:00,29,7,9
Women -57 kg,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo,Judo,2024-07-29 10:00:00+02:00,2024-07-29 10:06:00+02:00,Champ-de-Mars Arena,Women -57 kg Elimination Round of 32,W,FINISHED,Monday,0.1,,,,,29,7,10
Men -73 kg,judo,Judo,JUD,https://olympics.com/en/paris-2024/sports/judo,Judo,2024-07-29 10:00:00+02:00,2024-07-29 10:06:00+02:00,Champ-de-Mars Arena,Men -73 kg Elimination Round of 32,M,FINISHED,Monday,0.1,,,,,29,7,10
Men's Synchronised 10m Platform,diving,Diving,DIV,https://olympics.com/en/paris-2024/sports/diving,Diving,2024-07-29 11:00:00+02:00,2024-07-29 11:56:00+02:00,Aquatics Centre,Men's Synchronised 10m Platform,M,FINISHED,Monday,0.9333333333333332,48.9279,2.3619,2024-07-27 09:00:00+00:00,2024-08-10 20:00:00+00:00,29,7,11
Women's 400m Individual Medley,swimming,Swimming,SWM,https://olympics.com/en/paris-2024/sports/swimming,Swimming,2024-07-29 11:00:00+02:00,2024-07-29 11:12:00+02:00,Paris La Defense Arena,Women's 400m Individual Medley - Heats,W,FINISHED,Monday,0.2,48.8566,2.3522,2024-07-27 09:00:00+00:00,2024-08-11 13:50:00+00:00,29,7,11
